"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"O00330_PDHX",0.147624914468643,19.4909203744514,2.80743582638387,0.024604165214947,0.0551530551022243,-4.8538067186796
"O00391_QSOX1",-0.800296563723577,17.6102563668566,-4.89599653213064,0.00160611093102404,0.0065979140610848,-1.89909878814159
"O00399_DCTN6",0.147082846396785,17.8574151205082,1.85168764821332,0.103914942783,0.174408284868504,-6.30041635992772
"O00400_SLC33A1",-0.316319502884713,19.1880019182977,-3.51777956850303,0.00880991947677163,0.0245809614598245,-3.77095546683834
"O00401_WASL",0.138650242356146,19.6365095134735,1.59635381415208,0.151819152977058,0.236917212596368,-6.65634636889004
"O00410_IPO5",0.198595848775742,21.9567080311381,3.81114552283604,0.00587793298313309,0.0178836095269715,-3.33737523844138
"O00411_POLRMT",0.136983077649429,18.2008483662983,2.15090602949597,0.0661492094451977,0.122093362194239,-5.85998005513798
"O00418_EEF2K",-0.420398328460585,18.2531799897362,-5.5809366868559,0.000668300907457316,0.00335466870486617,-0.968969509483407
"O00422_SAP18",0.0592709808111529,22.0426697674511,1.08524141982888,0.311650678188217,0.418508595599669,-7.27825405233953
"O00423_EML1",0.0930745608772963,15.6219360048767,1.04462145916599,0.333722912552834,0.441250720592601,-7.25663586398729
"O00429_DNM1L",-0.30168686582283,21.1593961210744,-6.93084604203081,0.000168133177282357,0.00120128798161086,0.552667300102261
"O00442_RTCA",-1.04060360828754,19.0071312784402,-17.3132705990995,2.72042818958144e-07,1.6122227526628e-05,7.60088657218801
"O00443_PIK3C2A",0.27261955475123,19.4183503073697,3.95650552185769,0.00483237435883995,0.0153803088981396,-3.12644369309861
