"","LTED_0","LTED_2","LTED_5","LTED_10","LTED_30","LTED_60","LTED_120","TAMR_0","TAMR_2","TAMR_5","TAMR_10","TAMR_30","TAMR_60","TAMR_120"
"PIM1",0.626660486093814,0.881670890023958,2.122384368427,1.68640050708031,0.538678749667078,1.88668737356021,1.89163261942745,1.77174336307498,2.1794431566133,1.69583161832148,1.52175711819269,2.15198802974309,3.03079870863124,2.34727556013834
"PIM2",1.16963965193932,0.810746932648358,1.7663827015459,0.764363896180117,1.17910725528255,1.95071898346911,1.9146300605575,3.1609474086474,2.3025421145937,2.75623728923937,3.01063622238852,3.1397485304207,4.11528534618233,3.64448071862939
"PKD1",-1.5029555388556,-2.05219592869519,-1.50642883093618,NA,-1.24463265994105,NA,-1.38746654744861,-2.33606751161076,-0.463038767378673,-0.213322102709806,NA,-2.56699305028009,-1.705064067003,-2.48722871432501
"PKN1",1.84448062433729,2.30612488720447,2.87988678347917,1.26421115320658,1.19696106683345,1.26334525381815,1.43547656591466,0.778626896698456,1.67798422080543,1.66814771625232,0.241039076810488,0.252982827936042,-0.4732724050576,0.249877175965142
"PLK1",0.819171503437234,0.842842729043718,0.97700862966586,0.911799078018936,0.805338700555627,0.808079944522027,0.489453356379289,-1.63975777310837,-0.96171263377757,-0.850258801012151,-0.563478958014204,-0.893798014346297,-0.670618237280009,-1.11895493203366
"PLK3",0.111242904541404,-0.997531926752254,-0.287073586169076,-0.199059704488323,-1.18195615964384,0.215476127928644,-0.673506953082113,-0.439469106826825,-0.334784280643817,-0.664475674423349,-1.39469824544066,-1.86841772690928,NA,-1.14479155523028
"PPM1A",-1.58125174873469,-1.36190437579515,-2.12428934847839,-1.89808533906548,-2.03155395566529,-1.32397409703348,-1.69084252966142,-0.993062949290371,-0.550447700515666,-1.03705665409062,-1.06882162892371,-1.6223351799313,-1.02211263270086,-0.688574268843038
"PPM1D",1.0801088239651,0.624336877110928,1.30769484614517,1.03154003732994,0.861891460391782,0.629122056323962,0.737012076820553,2.26493412764753,2.36671335262979,2.59907592281101,2.64242996636919,2.33940821863207,2.07199255594362,1.91163148313763
"PPP1CA",-0.386997574550641,-0.0172749641565219,-0.321387322568558,-0.743762838324252,-1.04893116035483,-0.716005976378155,-0.820524595417727,-0.369709877234003,0.372922919905953,-0.29708909307005,0.0253403523232006,-1.39373764390227,-0.937041183625468,0.123109827631215
"PPP1CB",-1.62513710655214,-0.897419393531893,-1.55040538259567,-2.04256562186761,-1.63284134784738,-1.38423045464536,-1.83569096827202,-0.879433855678936,0.201761100264558,-0.236407402370646,0.254507420721405,-1.13112424919462,-1.0624312037136,0.0467114726890804
"PPP1CC",-0.923496334012509,-0.35885402011203,-1.03478671243363,-1.2084320856341,-0.881204632523427,-0.453665852794772,-1.12149870751449,-0.822706108466771,-0.332784734962768,-0.404448957944372,0.0215450595395887,-1.39800055553215,-0.816785092013476,0.138097482051754
"PPP2CA",-1.90193437098476,-1.11640860690758,-1.02371211168088,-1.38918130776155,-2.36582528529496,-2.10881216253964,-1.56718362043506,-1.2508169893839,-0.510616889604972,-0.869482228712942,-1.52954937487906,-2.6992358320914,-2.59054698416855,-2.24236804081076
"PPP2CB",-1.25705616066824,-0.117501739180776,-0.518788378326388,-1.29113409155829,-1.22991278426895,-1.6007496476252,-1.80969591381419,-0.874983950301839,-0.708169003249063,-1.19985560724429,-1.45469705243727,-2.06877105921703,-1.68063262437802,-1.7494665151315
"PPP3CA",1.5062042300386,2.05416004935346,0.936600436810438,1.84458131537706,1.3311748098251,0.542149003149127,1.26308029413009,1.65139008652689,1.90332594381376,1.05315238777544,1.69195795151843,1.11752702868368,0.584910237936677,0.825426977307311
"PPP3CB",-3.63426819823726,-3.08230954782024,-3.88054044947681,-3.46388700672539,-3.46247417754652,-4.76499004622787,-3.86361297112142,-1.49582307083113,-1.14066263802332,-2.47279837492185,-2.30234604470851,-2.81341985107436,-3.42991739284743,-3.08020651520257
"PPP3CC",-3.63426819823726,-3.08230954782024,-3.88054044947681,-3.46388700672539,-3.46247417754652,-4.76499004622787,-3.86361297112142,-1.49582307083113,-1.14066263802332,-2.47279837492185,-2.30234604470851,-2.81341985107436,-3.42991739284743,-3.08020651520257
"PRKAA1",1.04532814283009,1.34721942427672,0.573345026542209,1.22941256670778,1.46930805342418,1.90024337129518,1.23987837425219,3.44777133655376,2.94653693837795,3.00541628882798,3.78350521319141,4.02340425444467,4.00838220968991,2.99312250748327
"PRKAA2",-0.991556881012883,-1.31238888190016,-0.612214724678742,-0.830421779717057,-0.310541992131931,-0.858757393829154,-0.782776384273394,1.05420514805223,0.531027551242748,0.479640559544112,0.635581549821626,1.02910837659077,0.862570173018253,0.487597718117807
"PRKACA",2.01746364726044,2.35972741556099,3.74329650954655,2.18939189934663,2.58769359258616,2.99144456421613,2.78437941568363,0.728839130692645,2.98280928213049,3.27571314699127,2.23798855381659,1.43259692849807,2.54703189127955,1.11372463378304
"PRKACB",0.896039594092718,0.61613232824712,1.54139279675603,0.555422021571114,0.304740972422205,0.331660513864093,-0.593323113527791,1.31773190228419,1.25374693277184,1.23967672418117,1.88247946019247,1.13057923818983,2.13876725936551,1.37474241607534
"PRKACG",1.14728013531489,1.45553378758972,1.5363630066308,1.62139823475834,1.18826031015107,2.0253572330653,1.83697179928126,2.57245435352853,NA,2.92300649438431,3.42700147279396,2.88589072114444,4.46211293133809,3.23530490600058
"PRKCA",3.86668256998797,3.30109589992027,4.22895389020955,3.61377167364593,4.95973160861153,4.19891817522372,3.98724966282954,0.153288223976411,1.89833083824694,3.09210367484719,0.305671425725728,1.1902566531203,0.0925025901483985,-0.12876503989105
"PRKCB",2.94763466211739,3.14616931927333,2.92293560599132,3.88348538980638,4.43344918265156,4.52873986387019,3.98421806591541,0.606903898328082,1.58117962471818,1.44026718077381,0.936028382338911,2.55415061993503,1.54030176822068,0.865113476905485
"PRKCD",0.746806298794579,0.414713321766737,0.511761215650293,0.160404218846401,1.03437730851658,0.704045398507068,0.788183580876565,-0.391013586874881,0.246101848949496,0.552070893828829,-0.317210963957329,0.400288053143723,-0.315794513879592,-0.92136677379983
"PRKCE",2.44824930550371,2.33688020241252,2.77877679446711,2.31722493068964,2.38582209254073,3.32789787145742,2.35057229047237,0.51835312994515,1.93138887228168,2.84001780050826,1.14916950630184,1.05260121878196,0.829332332954995,0.0356919713649787
